"GeneSymbol","PValue","FDR","FoldChange","Direction","Sui1","Sui2","Sui3","Ctrl1","Ctrl2","Ctrl3","logFC"
"RPS23",2.001186e-07,0.003042524,23.29139,"up",12.887633,12.887633,12.925384,8.4662075,8.350799,8.258469,4.54172483517755
"RPS15A",3.239818e-07,0.003042524,27.3195724,"up",16.076061,15.952157,16.076061,11.150298,11.283701,11.354691,4.77186299794336
"COMMD9",5.208201e-07,0.003042524,28.3426327,"up",7.4233823,7.5027556,7.6125593,2.5697327,2.7800303,2.7142286,4.82490186890989
"GDF5",7.901646e-07,0.003042524,86.0918979,"up",9.059664,9.116847,8.8346195,2.598526,2.4149592,2.7142286,6.42780556701015
"TMEM115",9.107129e-07,0.003042524,17.2645381,"up",11.876356,11.942709,12.110918,7.946291,7.847789,7.8066835,4.10973983135184
"PTCH2",1.1285294e-06,0.003042524,15.9924382,"up",15.810331,15.85659,16.045734,11.965389,11.824247,11.925065,3.99931800311716
"RPL3",1.3046293e-06,0.003042524,22.636819,"up",12.892195,12.932867,13.201234,8.522094,8.49509,8.507314,4.50059933506442
"LSM2",1.3252281e-06,0.003042524,23.1314634,"up",10.208887,9.973709,10.257905,5.5764375,5.7036576,5.565052,4.53178463510004
"ELK4",1.3660426e-06,0.003042524,3.9824166,"up",6.6372147,6.619105,6.7369103,4.716345,4.658758,4.6371946,1.99364414906351
"PLA2G10",1.5600687e-06,0.003042524,9.5216104,"up",9.57521,9.450847,9.67605,6.2845035,6.2798357,6.384151,3.25120559870237
"FZD7",1.7894888e-06,0.003042524,11.9968397,"up",14.738384,14.577539,14.7877445,11.174489,11.168325,11.007106,3.58458250491995
"RPS27A",1.9393065e-06,0.003042524,11.4116961,"up",15.547411,15.413489,15.701365,12.024748,12.039318,12.060875,3.51244132763636
"SKP1",1.9590317e-06,0.003042524,18.0901024,"up",13.386244,13.332819,13.30664,8.990336,9.177826,9.326155,4.17712866932269
"RPL15",2.0957116e-06,0.003042524,8.3960495,"up",14.995192,15.04023,15.145047,12.087505,11.880573,12.003259,3.06971067225108
"PHYHD1",2.6343923e-06,0.003550394,45.3285676,"down",9.643122,9.85074,9.532178,15.388671,15.100226,15.044189,-5.50234866711881
"CLDN22",2.7948982e-06,0.003550394,14.709881,"up",8.445585,8.528815,8.562954,4.4467187,4.695668,4.7588263,3.87871367041251
"ALG8",3.2184338e-06,0.003680587,12.5859967,"up",11.233416,11.45905,11.48911,7.6351247,7.832668,7.7525406,3.65374756464091
"STOML1",3.4958243e-06,0.003680587,4.4255658,"up",9.792403,9.795431,9.957294,7.6794233,7.749722,7.678397,2.14586191274868
"NPC2",3.5458922e-06,0.003680587,8.4007715,"up",15.181977,14.974939,14.937746,11.9938965,11.883992,12.005208,3.07052182647634
"NKX2-5",3.621734e-06,0.003680587,91.4912689,"down",9.44387,8.949955,9.131399,15.601271,15.9108095,15.55983,-6.5155621670743
"HIST3H2A",3.8830613e-06,0.003758249,6.7836099,"up",5.3592296,5.2900305,5.4770093,2.6064725,2.5194087,2.7142286,2.76205320829774
"FKBP5",4.640838e-06,0.004287501,48.0350761,"down",5.306657,5.0120606,4.7580013,10.578664,10.707829,10.548275,-5.58601636811688
"SDHC",5.0348177e-06,0.004449247,39.6236717,"down",10.69278,10.945884,10.500429,16.16206,16.064545,15.83736,-5.30829066764242
"GPC4",6.2374485e-06,0.005282339,11.3342278,"up",11.552206,11.550663,11.753403,8.147013,7.9479284,8.253488,3.50261419862069
"PHF7",6.6422755e-06,0.005357961,37.0040618,"down",6.074583,6.0512753,6.3481045,11.09348,11.553326,11.455992,-5.2096117336585
"CYP11A1",6.8539726e-06,0.005357961,20.2468318,"up",6.67195,6.9302964,6.855054,2.40226,2.321939,2.7142286,4.33962426935266
"ERI3",7.7183403e-06,0.005810195,13.2846747,"up",6.2897453,6.230336,6.6186967,2.6371548,2.5923216,2.7142286,3.7316909960735
"EP400",8.5906017e-06,0.005889457,2.8532681,"down",6.4599276,6.480485,6.4022408,7.889239,7.9424543,8.048806,-1.51261531241847
"KRTAP6-3",8.644268e-06,0.005889457,126.3566252,"down",8.906201,8.816987,8.20581,15.541786,15.826128,15.5051565,-6.98135750021967
"KDELR1",8.6929254e-06,0.005889457,27.2790299,"up",7.3090196,7.0860972,7.5673175,2.40226,2.5367844,2.7142286,4.76972043487465
"FAM117A",9.3664609e-06,0.005950633,11.6024435,"down",4.699913,4.510432,4.6997747,8.324475,7.963498,8.231217,-3.53635676697265
"CIB2",9.4201981e-06,0.005950633,7.2630395,"up",9.844041,10.175085,10.037321,7.197114,7.0929694,7.1846433,2.86057342616831
